domain,domain_display_name,model,model_display_name,metric,n_species,mean_delta,median_delta,improved_%
camera_trap,Camera-trap refits,clip_visdiff,Camera-trap VisDiff refit,biolith_ap_test,16,-0.03686752821475941,-0.0314257709643645,12.5
camera_trap,Camera-trap refits,clip_visdiff,Camera-trap VisDiff refit,biolith_roc_auc_test,16,-0.027249063249961673,-0.02159360704239465,12.5
camera_trap,Camera-trap refits,clip_visdiff,Camera-trap VisDiff refit,lppd_test_norm,16,-0.08955603904085788,-0.0583087147831066,31.25
camera_trap,Camera-trap refits,clip_visdiff,Camera-trap VisDiff refit,lr_map_test,16,-0.02231440712037117,-0.029989254411443997,25.0
camera_trap,Camera-trap refits,clip_visdiff,Camera-trap VisDiff refit,lr_mcc_test,16,-0.019456528743129177,-0.011047080018542899,25.0
camera_trap,Camera-trap refits,clip_expert,Camera-trap expert refit,biolith_ap_test,8,-0.06882371843522267,-0.0655025908710879,0.0
camera_trap,Camera-trap refits,clip_expert,Camera-trap expert refit,biolith_roc_auc_test,8,-0.06655690366433839,-0.05013275367226825,0.0
camera_trap,Camera-trap refits,clip_expert,Camera-trap expert refit,lppd_test_norm,8,-0.19273124069846131,-0.12648133134755257,0.0
camera_trap,Camera-trap refits,clip_expert,Camera-trap expert refit,lr_map_test,8,-0.05142903839630349,-0.0414364637637303,12.5
camera_trap,Camera-trap refits,clip_expert,Camera-trap expert refit,lr_mcc_test,8,-0.020316730425212322,-0.04495576836441625,25.0
satellite,Satellite refits,graft_visdiff_naip,GRAFT NAIP refit,biolith_ap_test,16,-0.011995952639996376,-0.024509656143448202,31.25
satellite,Satellite refits,graft_visdiff_naip,GRAFT NAIP refit,biolith_roc_auc_test,16,-0.021048181970177722,-0.03833413392684215,25.0
satellite,Satellite refits,graft_visdiff_naip,GRAFT NAIP refit,lppd_test_norm,16,-0.042863114778667416,-0.0998414293535958,31.25
satellite,Satellite refits,graft_visdiff_naip,GRAFT NAIP refit,lr_map_test,16,-0.024950600675613336,-0.0021246189031665502,43.75
satellite,Satellite refits,graft_visdiff_naip,GRAFT NAIP refit,lr_mcc_test,16,-0.0024414059301983114,0.0,43.75
satellite,Satellite refits,graft_visdiff_sentinel,GRAFT Sentinel refit,biolith_ap_test,16,-0.01540525225242766,-0.02201324204622605,37.5
satellite,Satellite refits,graft_visdiff_sentinel,GRAFT Sentinel refit,biolith_roc_auc_test,16,-0.014528715059198217,-0.0234246561483737,25.0
satellite,Satellite refits,graft_visdiff_sentinel,GRAFT Sentinel refit,lppd_test_norm,16,-0.028347119602347152,-0.11385523361292602,31.25
satellite,Satellite refits,graft_visdiff_sentinel,GRAFT Sentinel refit,lr_map_test,16,-0.01769107905175052,0.0001751372324934001,50.0
satellite,Satellite refits,graft_visdiff_sentinel,GRAFT Sentinel refit,lr_mcc_test,16,-0.005558724693278033,-0.00603594258741025,31.25
